company,ticker,country,segment,decision,rationale
Walmart Inc.,WMT,United States,Global food retail and mass retail,Excluded from main median,"Very large developed-market global retailer; scale, country risk, format mix and valuation profile are not directly comparable to GMAT3."
Costco Wholesale,COST,United States,Warehouse club / membership retail,Excluded from main median,"High-quality global warehouse club with membership model and structurally premium multiple; useful as context but not appropriate for the main LatAm food retail median."
Kroger,KR,United States,Supermarket / grocery retail,Excluded from main median,"US grocery operator in a mature developed market; operating model and market structure differ from Brazilian cash-and-carry and regional food retail."
BJ's Wholesale Club,BJ,United States,Warehouse club / membership retail,Excluded from main median,"Closer to cash-and-carry in format but US membership-club economics and developed-market risk profile reduce comparability."
Carrefour SA,CA.PA,France,Global food retail,Excluded from main median,"Global multi-country retailer; consolidated multiple reflects Europe and global portfolio, not specifically Brazilian Atacadao economics."
Carrefour Brasil / Atacadao,CRFB3.SA,Brazil,Food retail and cash-and-carry,Operational reference only,"Highly relevant operationally, but CRFB3 was delisted and no longer provides a current listed trading multiple."
Casino Guichard-Perrachon,CO.PA,France,Food retail / distressed retail,Excluded from main median,"Financial distress, restructuring and European exposure make the multiple unsuitable as a normalized food retail benchmark."
Sendas / Assai,ASAI3.SA,Brazil,Cash-and-carry,Included,"Closest listed Brazilian cash-and-carry peer and the cleanest domestic benchmark for GMAT3."
GPA,PCAR3.SA,Brazil,Food retail,Included as stress case,"Listed Brazilian food retail peer, but negative earnings and turnaround profile mean it should be used as stress/downside reference, not central fair-value benchmark."
Walmart de Mexico,WALMEX.MX,Mexico,Food retail and clubs,Included,"High-quality LatAm food retail and club-store operator; useful for expanded regional peer set."
Grupo Comercial Chedraui,CHDRAUIB.MX,Mexico,Food retail,Included,"Listed LatAm food retailer with grocery exposure and available market multiples."
Organizacion Soriana,SORIANAB.MX,Mexico,Food retail,Included,"Listed Mexican supermarket and food retail operator; useful for broader LatAm food retail median."
Cencosud,CENCOSUD.SN,Chile,Food retail and multi-format retail,Included,"Large listed LatAm retailer with food retail exposure, though multi-format nature requires comparability caution."
